country,Index
Argentina,EN.ATM.CO2E.KT
Armenia,NY.GDP.MKTP.PP.KD
Australia,SP.POP.TOTL
Austria,
Belgium,
Bulgaria,
Belarus,
Brazil,
Canada,
Switzerland,
Chile,
China,
Colombia,
Czech Republic,
Germany,
Denmark,
Spain,
Estonia,
Finland,
France,
United Kingdom,
Georgia,
Greece,
Croatia,
Hungary,
India,
Ireland,
Iceland,
Israel,
Italy,
Japan,
Kazakhstan,
"Korea, Rep.",
Lithuania,
Latvia,
Moldova,
Mexico,
Malaysia,
Netherlands,
Norway,
New Zealand,
Panama,
Peru,
Poland,
Portugal,
Romania,
Russian Federation,
Singapore,
Serbia,
Slovak Republic,
Slovenia,
Sweden,
Turkey,
Ukraine,
United States,
South Africa,
